2025-05-21T11:56:30.681038+00:00 lia-server mariadbd[15721]: 2025-05-21 11:56:30 180 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:56:40.711334+00:00 lia-server mariadbd[15721]: 2025-05-21 11:56:40 181 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:56:50.714213+00:00 lia-server mariadbd[15721]: 2025-05-21 11:56:50 182 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:57:00.715891+00:00 lia-server mariadbd[15721]: 2025-05-21 11:57:00 183 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:57:10.718685+00:00 lia-server mariadbd[15721]: 2025-05-21 11:57:10 184 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:57:20.762390+00:00 lia-server mariadbd[15721]: 2025-05-21 11:57:20 186 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:57:30.778916+00:00 lia-server mariadbd[15721]: 2025-05-21 11:57:30 187 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:57:40.803724+00:00 lia-server mariadbd[15721]: 2025-05-21 11:57:40 188 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:57:50.809893+00:00 lia-server mariadbd[15721]: 2025-05-21 11:57:50 189 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:58:02.970565+00:00 lia-server mariadbd[15721]: 2025-05-21 11:58:02 190 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:58:13.234379+00:00 lia-server mariadbd[15721]: 2025-05-21 11:58:13 191 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:58:23.507871+00:00 lia-server mariadbd[15721]: 2025-05-21 11:58:23 192 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:58:33.641787+00:00 lia-server mariadbd[15721]: 2025-05-21 11:58:33 193 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:58:46.205652+00:00 lia-server mariadbd[15721]: 2025-05-21 11:58:46 194 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:58:56.224916+00:00 lia-server mariadbd[15721]: 2025-05-21 11:58:56 195 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
